MsgID.GLOBAL_POSITION,1530000759.6257346,-122.4019340,37.7967191,0.2250000
MsgID.LOCAL_VELOCITY,1530000759.6257346,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1530000759.6267319,470.9695435,-398.2902222,-0.2259249
MsgID.LOCAL_VELOCITY,1530000759.6267319,0.0000025,0.0000408,-0.0000085
MsgID.GLOBAL_POSITION,1530000759.6267319,-122.4019341,37.7967204,0.2020000
MsgID.LOCAL_VELOCITY,1530000759.6267319,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1530000759.6267319,471.1061707,-398.2955627,-0.2027488
MsgID.LOCAL_VELOCITY,1530000759.6267319,-0.0000043,0.0000319,0.0000087
MsgID.GLOBAL_POSITION,1530000759.6267319,-122.4019352,37.7967196,0.1680000
MsgID.LOCAL_VELOCITY,1530000759.6267319,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1530000759.6267319,471.0223999,-398.3910828,-0.1687773
MsgID.LOCAL_VELOCITY,1530000759.6267319,-0.0000071,0.0000086,0.0000058
MsgID.GLOBAL_POSITION,1530000759.6267319,-122.4019364,37.7967197,0.1290000
MsgID.LOCAL_VELOCITY,1530000759.6267319,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1530000759.6267319,471.0319824,-398.5026855,-0.1294803
MsgID.LOCAL_VELOCITY,1530000759.6267319,-0.0000008,0.0000042,0.0000008
MsgID.STATE,1530000759.6277418,True,True
MsgID.GLOBAL_HOME,1530000759.6277418,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1530000759.6277418,-122.4019359,37.7967201,0.0900000
MsgID.LOCAL_VELOCITY,1530000759.6277418,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1530000759.6277418,471.0793762,-398.4606628,-0.0909521
MsgID.LOCAL_VELOCITY,1530000759.6277418,-0.0000170,0.0000153,0.0000094
MsgID.GLOBAL_POSITION,1530000759.6277418,-122.4019343,37.7967182,0.0700000
MsgID.LOCAL_VELOCITY,1530000759.6277418,0.0000000,0.0000000,-0.1200000
MsgID.LOCAL_POSITION,1530000759.6277418,470.8670349,-398.3106079,-0.0707351
MsgID.LOCAL_VELOCITY,1530000759.6277418,-0.0053126,0.0004808,-0.1267246
MsgID.GLOBAL_POSITION,1530000759.6277418,-122.4019355,37.7967191,0.0840000
MsgID.LOCAL_VELOCITY,1530000759.6277418,0.0000000,0.0000000,-0.1200000
MsgID.LOCAL_POSITION,1530000759.6287262,470.9644165,-398.4180298,-0.0847209
MsgID.LOCAL_VELOCITY,1530000759.6287262,-0.0067130,0.0006294,-0.1257910
MsgID.LOCAL_POSITION,1530000759.6287262,470.9193420,-398.4613647,-0.1030408
MsgID.LOCAL_VELOCITY,1530000759.6287262,-0.0095639,0.0063627,-0.0837990
MsgID.GLOBAL_POSITION,1530000759.6287262,-122.4019360,37.7967187,0.1030000
MsgID.LOCAL_VELOCITY,1530000759.6287262,0.0000000,0.0000000,-0.0800000
MsgID.STATE,1530000759.6287262,True,True
MsgID.GLOBAL_HOME,1530000759.6287262,-122.3974533,37.7924804,0.0000000
MsgID.LOCAL_POSITION,1530000759.6287262,470.8807373,-398.4546509,-0.1018349
MsgID.LOCAL_VELOCITY,1530000759.6287262,-0.0102731,0.0142382,-0.0147307
MsgID.GLOBAL_POSITION,1530000759.6297243,-122.4019359,37.7967183,0.1010000
MsgID.LOCAL_VELOCITY,1530000759.6297243,-0.0100000,0.0100000,-0.0100000
MsgID.LOCAL_POSITION,1530000759.6307218,471.0386963,-398.3391724,-0.1018534
MsgID.LOCAL_VELOCITY,1530000759.6307218,-0.0067934,0.0173482,-0.0481732
MsgID.GLOBAL_POSITION,1530000759.6317189,-122.4019346,37.7967198,0.1010000
MsgID.LOCAL_VELOCITY,1530000759.6317189,0.0000000,0.0100000,-0.0400000
MsgID.GLOBAL_POSITION,1530000759.6317189,-122.4019340,37.7967192,0.1000000
MsgID.LOCAL_VELOCITY,1530000759.6317189,-0.0100000,0.0000000,-0.0800000
MsgID.LOCAL_POSITION,1530000759.6327159,470.9764709,-398.2836304,-0.1005320
MsgID.LOCAL_VELOCITY,1530000759.6327159,-0.0164552,0.0080567,-0.0829320
MsgID.GLOBAL_POSITION,1530000759.6327159,-122.4019355,37.7967179,0.0990000
MsgID.LOCAL_VELOCITY,1530000759.6327159,-0.0200000,0.0000000,-0.0500000
MsgID.LOCAL_POSITION,1530000759.6337137,470.8328857,-398.4171143,-0.0992358
MsgID.LOCAL_VELOCITY,1530000759.6337137,-0.0210751,-0.0015428,-0.0574997
MsgID.STATE,1530000759.6337137,True,True
MsgID.GLOBAL_HOME,1530000759.6337137,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1530000759.6337137,-122.4019357,37.7967192,0.0980000
MsgID.LOCAL_VELOCITY,1530000759.6337137,0.0000000,0.0000000,-0.0900000
MsgID.LOCAL_POSITION,1530000759.6347110,470.9741211,-398.4404297,-0.0987805
MsgID.LOCAL_VELOCITY,1530000759.6347110,-0.0086539,0.0043309,-0.0927595
MsgID.GLOBAL_POSITION,1530000759.6347110,-122.4019369,37.7967204,0.1020000
MsgID.LOCAL_VELOCITY,1530000759.6347110,-0.0100000,0.0100000,-0.1000000
MsgID.LOCAL_POSITION,1530000759.6347110,471.1124268,-398.5497742,-0.1027980
MsgID.LOCAL_VELOCITY,1530000759.6347110,-0.0101231,0.0127058,-0.1097614
MsgID.GLOBAL_POSITION,1530000759.6347110,-122.4019368,37.7967199,0.1040000
MsgID.LOCAL_VELOCITY,1530000759.6347110,-0.0200000,0.0200000,-0.0800000
MsgID.LOCAL_POSITION,1530000759.6347110,471.0485229,-398.5368652,-0.1046781
MsgID.LOCAL_VELOCITY,1530000759.6347110,-0.0273592,0.0247015,-0.0872008
MsgID.GLOBAL_POSITION,1530000759.6347110,-122.4019348,37.7967180,0.1210000
MsgID.LOCAL_VELOCITY,1530000759.6347110,-0.0300000,0.0300000,-0.0300000
MsgID.LOCAL_POSITION,1530000759.6347110,470.8446350,-398.3587646,-0.1212811
MsgID.LOCAL_VELOCITY,1530000759.6347110,-0.0308922,0.0324181,-0.0368904
MsgID.STATE,1530000759.6357081,True,True
MsgID.GLOBAL_HOME,1530000759.6357081,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1530000759.6357081,-122.4019345,37.7967192,0.1210000
MsgID.LOCAL_VELOCITY,1530000759.6357081,-0.0100000,0.0200000,0.0200000
MsgID.LOCAL_POSITION,1530000759.6357081,470.9736633,-398.3347168,-0.1217045
MsgID.LOCAL_VELOCITY,1530000759.6357081,-0.0154991,0.0213966,0.0288661
MsgID.GLOBAL_POSITION,1530000759.6357081,-122.4019370,37.7967183,0.1280000
MsgID.LOCAL_VELOCITY,1530000759.6357081,-0.0100000,0.0100000,0.0800000
MsgID.LOCAL_POSITION,1530000759.6357081,470.8798218,-398.5580139,-0.1282784
MsgID.LOCAL_VELOCITY,1530000759.6357081,-0.0125931,0.0131319,0.0842105
MsgID.LOCAL_POSITION,1530000759.6367056,470.9029846,-398.6088562,-0.1310981
MsgID.LOCAL_VELOCITY,1530000759.6367056,-0.0092608,0.0252872,0.0738393
MsgID.GLOBAL_POSITION,1530000759.6367056,-122.4019376,37.7967185,0.1310000
MsgID.LOCAL_VELOCITY,1530000759.6367056,0.0000000,0.0200000,0.0700000
MsgID.LOCAL_POSITION,1530000759.6367056,470.9953003,-398.5531616,-0.1399296
MsgID.LOCAL_VELOCITY,1530000759.6367056,-0.0058789,0.0368861,0.1360918
MsgID.GLOBAL_POSITION,1530000759.6367056,-122.4019370,37.7967194,0.1390000
MsgID.LOCAL_VELOCITY,1530000759.6367056,0.0000000,0.0300000,0.1300000
MsgID.STATE,1530000759.6367056,True,True
MsgID.GLOBAL_HOME,1530000759.6377027,-122.3974533,37.7924804,0.0000000
MsgID.LOCAL_POSITION,1530000759.6377027,470.9679260,-398.4394836,-0.1363580
MsgID.LOCAL_VELOCITY,1530000759.6377027,-0.0136909,0.0369157,0.1696514
MsgID.GLOBAL_POSITION,1530000759.6377027,-122.4019357,37.7967191,0.1360000
MsgID.LOCAL_VELOCITY,1530000759.6377027,-0.0100000,0.0300000,0.1600000
MsgID.GLOBAL_POSITION,1530000759.6377027,-122.4019362,37.7967204,0.1360000
MsgID.LOCAL_VELOCITY,1530000759.6377027,-0.0100000,0.0200000,0.1200000
MsgID.LOCAL_POSITION,1530000759.6387002,471.1041565,-398.4871521,-0.1369142
MsgID.LOCAL_VELOCITY,1530000759.6387002,-0.0163242,0.0282446,0.1235909
MsgID.GLOBAL_POSITION,1530000759.6387002,-122.4019347,37.7967191,0.1310000
MsgID.LOCAL_VELOCITY,1530000759.6387002,-0.0200000,0.0200000,0.1000000
MsgID.LOCAL_POSITION,1530000759.6387002,470.9624939,-398.3473816,-0.1313513
MsgID.LOCAL_VELOCITY,1530000759.6387002,-0.0258642,0.0245892,0.1089257
MsgID.GLOBAL_POSITION,1530000759.6387002,-122.4019339,37.7967190,0.1200000
MsgID.LOCAL_VELOCITY,1530000759.6387002,-0.0200000,0.0100000,0.0500000
MsgID.LOCAL_POSITION,1530000759.6387002,470.9554138,-398.2752991,-0.1208791
MsgID.LOCAL_VELOCITY,1530000759.6387002,-0.0251203,0.0140629,0.0560751
MsgID.STATE,1530000759.6387002,True,True
MsgID.GLOBAL_HOME,1530000759.6387002,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1530000759.6397233,-122.4019355,37.7967192,0.1140000
MsgID.LOCAL_VELOCITY,1530000759.6397233,-0.0100000,0.0000000,-0.0400000
MsgID.LOCAL_POSITION,1530000759.6397233,470.9724731,-398.4235229,-0.1146358
MsgID.LOCAL_VELOCITY,1530000759.6397233,-0.0179675,0.0031153,-0.0417620
MsgID.GLOBAL_POSITION,1530000759.6397233,-122.4019340,37.7967191,0.1110000
MsgID.LOCAL_VELOCITY,1530000759.6397233,-0.0100000,0.0000000,-0.1100000
MsgID.LOCAL_POSITION,1530000759.6397233,470.9665833,-398.2896423,-0.1115200
MsgID.LOCAL_VELOCITY,1530000759.6397233,-0.0180806,0.0056639,-0.1114799
MsgID.GLOBAL_POSITION,1530000759.6397233,-122.4019357,37.7967182,0.1120000
MsgID.LOCAL_VELOCITY,1530000759.6397233,-0.0100000,0.0000000,-0.1200000
MsgID.LOCAL_POSITION,1530000759.6397233,470.8611450,-398.4382324,-0.1128507
MsgID.LOCAL_VELOCITY,1530000759.6397233,-0.0170624,0.0001168,-0.1294761
MsgID.GLOBAL_POSITION,1530000759.6406949,-122.4019365,37.7967175,0.1190000
MsgID.LOCAL_VELOCITY,1530000759.6406949,0.0000000,0.0000000,-0.1800000
MsgID.LOCAL_POSITION,1530000759.6406949,470.7836304,-398.5082092,-0.1195788
MsgID.LOCAL_VELOCITY,1530000759.6406949,-0.0096331,0.0091284,-0.1895421
MsgID.STATE,1530000759.6406949,True,True
MsgID.GLOBAL_HOME,1530000759.6406949,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1530000759.6406949,-122.4019337,37.7967181,0.1230000
MsgID.LOCAL_VELOCITY,1530000759.6406949,0.0000000,0.0100000,-0.0700000
MsgID.LOCAL_POSITION,1530000759.6406949,470.8564758,-398.2609558,-0.1231585
MsgID.LOCAL_VELOCITY,1530000759.6406949,0.0034907,0.0167378,-0.0793126
MsgID.LOCAL_POSITION,1530000759.6416922,470.9542236,-398.2573853,-0.1278040
MsgID.LOCAL_VELOCITY,1530000759.6416922,0.0050721,0.0022989,-0.0449508
MsgID.GLOBAL_POSITION,1530000759.6416922,-122.4019337,37.7967190,0.1270000
MsgID.LOCAL_VELOCITY,1530000759.6416922,0.0000000,0.0000000,-0.0400000
MsgID.LOCAL_POSITION,1530000759.6416922,471.0088501,-398.3333130,-0.1392596
MsgID.LOCAL_VELOCITY,1530000759.6416922,-0.0057162,-0.0090836,0.0165858
MsgID.GLOBAL_POSITION,1530000759.6426895,-122.4019345,37.7967195,0.1390000
MsgID.LOCAL_VELOCITY,1530000759.6426895,0.0000000,0.0000000,0.0100000
MsgID.LOCAL_POSITION,1530000759.6426895,470.9182434,-398.3274231,-0.1548240
MsgID.LOCAL_VELOCITY,1530000759.6426895,-0.0164576,-0.0060490,0.1105016
MsgID.GLOBAL_POSITION,1530000759.6426895,-122.4019344,37.7967187,0.1540000
MsgID.LOCAL_VELOCITY,1530000759.6426895,-0.0100000,0.0000000,0.1100000
MsgID.STATE,1530000759.6436918,True,True
MsgID.GLOBAL_HOME,1530000759.6436918,-122.3974533,37.7924804,0.0000000
MsgID.LOCAL_POSITION,1530000759.6436918,470.8254395,-398.2797241,-0.1555088
MsgID.LOCAL_VELOCITY,1530000759.6436918,-0.0136523,-0.0056257,0.1839594
MsgID.GLOBAL_POSITION,1530000759.6436918,-122.4019339,37.7967179,0.1550000
MsgID.LOCAL_VELOCITY,1530000759.6436918,-0.0100000,0.0000000,0.1800000
MsgID.LOCAL_POSITION,1530000759.6446838,470.9549866,-398.2397156,-0.1536458
MsgID.LOCAL_VELOCITY,1530000759.6446838,-0.0015640,-0.0055681,0.1803251
MsgID.GLOBAL_POSITION,1530000759.6446838,-122.4019335,37.7967190,0.1530000
MsgID.LOCAL_VELOCITY,1530000759.6446838,0.0000000,0.0000000,0.1800000
MsgID.GLOBAL_POSITION,1530000759.6446838,-122.4019350,37.7967192,0.1560000
